A,B,distance
NE,BJ,1242713.0584912794
NE,BF,1401875.2895499957
NE,TD,1018956.7068264062
NE,LY,1326323.6364801773
NE,ML,1490056.3675845047
NE,NG,916548.2591314745
NG,BJ,639945.2720880611
NG,CM,493941.05527895293
NG,TD,1433273.6355763604
NG,NE,916548.2591314745
NG,ST,979001.2301834663
KP,CN,2112278.2110065073
KP,KR,453826.514600707
NO,FI,750720.2386728495
NO,SE,488790.6332965435
OM,IR,1287387.8858733207
OM,SA,1359810.8704810517
OM,AE,469147.9336976045
OM,YE,1130958.7905839412
PK,AF,580175.3406053276
PK,IN,1438661.9146093915
PK,IR,1729867.8670619205
PK,CN,3086514.1525552254
PW,FM,2610566.1234714272
PW,ID,2118775.5583825884
PW,PH,1363627.115132857
PG,AU,2636096.719915797
PG,ID,3254241.9937874693
PY,AR,1306607.7489238183
PY,BO,1022987.6146962609
PY,BR,1181226.5339737467
CN,AF,3432752.746974876
CN,BT,1540208.0045272114
CN,IN,2450617.118615444
CN,JP,2940405.975633038
CN,KZ,3196538.4718603278
CN,KG,2534791.6778159165
CN,LA,1964942.6334737034
CN,MN,1242633.3383048752
CN,MM,1702160.371628706
CN,NP,2029751.101567526
CN,KP,2112278.2110065073
CN,PK,3086514.1525552254
CN,KR,2207130.564694245
CN,TJ,2846230.890493701
CN,VN,2254750.9957037084
PE,BO,1465263.749746544
PE,BR,2557474.3933113352
PE,CL,2676857.751414612
PE,CO,1508092.7322571746
PE,EC,960964.202213523
PH,ID,1653697.957848133
PH,MY,1933455.6569598878
PH,PW,1363627.115132857
PH,TW,1352431.297832838
PL,BY,632185.274069682
PL,CZ,306116.2082635127
PL,DE,633107.14802953
PL,SK,341373.31631414796
QA,IR,769268.2906746112
QA,SA,739230.0084278904
CG,AO,1309430.9219198436
CG,CM,941014.1110985108
CG,CF,1031199.3329601871
CG,CD,950444.793327842
RO,BG,363966.96710128075
RO,HU,472916.2310358422
RW,BI,192286.0464963939
RW,CD,699418.7981329664
RW,TZ,736135.1058793445
RW,UG,454902.2613005671
KN,VE,1140022.9327608412
LC,VE,929153.0677740852
VC,VE,853626.2615756748
WS,US,9650664.305313013
SA,BH,700333.5862056665
SA,EG,1562817.2070522688
SA,IR,1269584.4197743924
SA,IQ,1039165.6433780292
SA,JO,1121773.8166237676
SA,OM,1359810.8704810517
SA,QA,739230.0084278904
SA,AE,1037683.3715994349
SA,YE,1001029.5664440335
SN,GN,603204.9139576402
SN,GW,274666.66907423123
SN,ML,1140215.323894022
SN,MR,816300.5502047818
SN,GM,163056.55148098775
SC,KM,1076913.4612828454
SC,FR,7822026.503908789
SC,MG,1565143.3022365966
SC,MU,1545126.5557523
SC,TZ,1982235.9862046267
SL,GN,206126.37247498194
SL,LR,339391.23393933935
SG,ID,1622619.0747659057
SG,MY,504067.92845311016
SK,AT,456224.00195693417
SK,CZ,309821.6310638391
SK,HU,234763.16723302126
SK,PL,341373.31631414796
SB,AU,3156898.686138323
SB,FJ,2181367.604959027
SB,FR,15362666.346203912
SB,PG,1456322.8153737176
SB,VU,1194134.6766045343
SO,DJ,817848.8102974535
SO,ET,841567.8453767231
SO,KE,1196403.3035569373
ZA,BW,757570.2504827619
ZA,LS,417175.35833972413
ZA,MZ,1576345.793808472
ZA,NA,967341.3715989959
ZA,ZW,1268837.121153848
KR,JP,733292.135782655
KR,KP,453826.514600707
KR,CN,2207130.564694245
SS,CF,1006314.3403188984
SS,CD,1306326.6308784953
SS,ET,1124534.5722757345
SS,KE,1174334.8240741775
SS,SD,916933.3033422094
SS,UG,689785.0959897803
SD,CF,1524264.1674252031
SD,TD,1354145.7825656417
SD,CD,2192628.197020195
SD,EG,1371546.9440854082
SD,ER,673401.7690710351
SD,ET,1097305.0894666058
SD,KE,1785204.170055031
SD,LY,2049373.9294650645
SD,SS,916933.3033422094
SD,UG,1527904.8983879515
SE,DK,627579.6149948515
SE,FI,750414.5835685675
SE,NO,488790.6332965435
CH,AT,454606.68282841466
CH,FR,474425.2715291885
CH,DE,485229.2420585017
CH,IT,585651.2846767226
CH,LI,107561.94369721778
SY,IQ,475954.69775223034
SY,IL,576065.109034995
SY,JO,487384.1532904341
SY,LB,300722.9275167255
SY,TR,479495.99158610293
ST,NG,979001.2301834663
TW,JP,1896275.4991756931
TW,CN,2139848.86591254
TW,PH,1352431.297832838
TJ,AF,787781.1783495857
TJ,KG,410972.7726777705
TJ,CN,2846230.890493701
TJ,UZ,531912.3240514179
TZ,BI,631188.9930959636
TZ,CD,1299603.6204662302
TZ,KE,794259.4644054223
TZ,MW,750925.5105332739
TZ,MZ,1413066.861355894
TZ,RW,736135.1058793445
TZ,SC,1982235.9862046267
TZ,UG,887861.2442533443
TZ,ZM,1138635.4889890437
TH,KH,460491.84877695114
TH,LA,566998.5051541586
TH,MY,1446172.2153949002
TH,MM,1035707.6511459756
BS,US,2748038.7497738427
GM,SN,163056.55148098775
TG,BJ,127809.51934939559
TG,BF,571497.8030979648
TG,GH,187582.41768554752
TT,VE,671441.5006753044
TN,DZ,1087105.8516296665
TN,LY,1027966.197021893
TR,BG,976499.6650785008
TR,GR,1129023.58012996
TR,IR,1722632.7300936468
TR,IQ,917838.113804082
TR,SY,479495.99158610293
TM,AF,858670.8899527104
TM,IR,1004103.2280056741
TM,KZ,1190609.2839546772
TM,UZ,557831.8417331474
UG,CD,1076637.989306969
UG,KE,638112.4060849193
UG,RW,454902.2613005671
UG,SS,689785.0959897803
UG,SD,1527904.8983879515
UG,TZ,887861.2442533443
AE,IR,855561.1941543429
AE,OM,469147.9336976045
AE,SA,1037683.3715994349
GB,IE,432637.4869250496
US,CA,1955903.9456656158
US,MX,1900852.3370576191
UY,AR,750715.4866552982
UY,BR,2136810.9488067175
UZ,AF,890555.9263461885
UZ,KZ,795174.4520243664
UZ,KG,755789.9632231788
UZ,TJ,531912.3240514179
UZ,TM,557831.8417331474
VE,BR,2896512.1177439336
VE,CO,893637.018246578
VE,DM,1030809.5821186877
VE,DO,1251026.5164088688
VE,FR,7780194.072700281
VE,GD,742678.3598653065
VE,GY,885800.7674170178
VE,NL,8131005.827609565
VE,KN,1140022.9327608412
VE,LC,929153.0677740852
VE,VC,853626.2615756748
VE,TT,671441.5006753044
VE,GB,7698059.960802744
VE,US,4733553.619541029
VN,KH,497933.48630182224
VN,LA,490991.2060503652
VN,CN,2254750.9957037084
YE,OM,1130958.7905839412
YE,SA,1001029.5664440335
ZM,AO,1168737.3592667142
ZM,BW,1019694.4867567556
ZM,CD,1326787.2644211876
ZM,MW,658908.0199895569
ZM,MZ,931410.718248007
ZM,NA,1532349.5171588054
ZM,TZ,1138635.4889890437
ZM,ZW,596098.590258025
ZW,BW,746749.3305113879
ZW,MZ,526255.5197585542
ZW,ZA,1268837.121153848
ZW,ZM,596098.590258025
